kernel,hardware,method,problem size
j2d5pt,A100,ConvStencil,"[3,9216,9216]"
j2d5pt,A100,LoRAStencil,"[3,9216,9216]"
j2d5pt,A100,FlashFFTStencil,"[1,8640,8640]"
j2d5pt,A100,EBISU,"[12,8352,8352]"
j2d5pt,A100,FastStencil,"[12,9576,9576]"
j2d9pt,A100,ConvStencil,"[3,9216,9216]"
j2d9pt,A100,LoRAStencil,"[3,9216,9216]"
j2d9pt,A100,FlashFFTStencil,"[1,8640,8640]"
j2d9pt,A100,EBISU,"[6,8784,8784]"
j2d9pt,A100,FastStencil,"[12,8544,8544]"
j2d13pt,A100,ConvStencil,"[1,9216,9216]"
j2d13pt,A100,LoRAStencil,"[1,9216,9216]"
j2d13pt,A100,FastStencil,"[8,10080,10080]"
j2d25pt,A100,EBISU,"[4,8640,8640]"
j2d25pt,A100,FastStencil,"[8,8448,8448]"
j2d49pt,A100,ConvStencil,"[1,9216,9216]"
j2d49pt,A100,LoRAStencil,"[1,9216,9216]"
j2d49pt,A100,EBISU,"[2,8784,8784]"
j2d49pt,A100,FastStencil,"[8,8928,8928]"
j3d7pt,A100,ConvStencil,"[3,2560,288,384]"
j3d7pt,A100,LoRAStencil,"[1,640,576,576]"
j3d7pt,A100,FlashFFTStencil,"[1,648,648,648]"
j3d7pt,A100,EBISU,"[8,2560,288,384]"
j3d7pt,A100,FastStencil,"[4,2560,270,336]"
poisson,A100,EBISU,"[6,2560,288,384]"
poisson,A100,FastStencil,"[3,2560,252,360]"
j3d27pt,A100,ConvStencil,"[3,2560,288,384]"
j3d27pt,A100,LoRAStencil,"[1,1280,480,576]"
j3d27pt,A100,FlashFFTStencil,"[1,648,648,648]"
j3d27pt,A100,EBISU,"[5,2560,288,384]"
j3d27pt,A100,FastStencil,"[3,2560,252,348]"
j2d5pt,H100,ConvStencil,"[3,8448,8448]"
j2d5pt,H100,LoRAStencil,"[3,8448,8448]"
j2d5pt,H100,FlashFFTStencil,"[1,9504,9504]"
j2d5pt,H100,EBISU,"[12,10208,10208]"
j2d5pt,H100,FastStencil,"[32,11616,11616]"
j2d9pt,H100,ConvStencil,"[3,8448,8448]"
j2d9pt,H100,LoRAStencil,"[3,8448,8448]"
j2d9pt,H100,FlashFFTStencil,"[1,9504,9504]"
j2d9pt,H100,EBISU,"[6,10736,10736]"
j2d9pt,H100,FastStencil,"[24,9504,9504]"
j2d13pt,H100,ConvStencil,"[3,8448,8448]"
j2d13pt,H100,LoRAStencil,"[3,8448,8448]"
j2d13pt,H100,FastStencil,"[8,12320,12320]"
j2d25pt,H100,EBISU,"[4,10560,10560]"
j2d25pt,H100,FastStencil,"[8,8448,8448]"
j2d49pt,H100,ConvStencil,"[1,8448,8448]"
j2d49pt,H100,LoRAStencil,"[1,8448,8448]"
j2d49pt,H100,EBISU,"[2,10736,10736]"
j2d49pt,H100,FastStencil,"[8,9504,9504]"
j3d7pt,H100,ConvStencil,"[3,2560,352,384]"
j3d7pt,H100,LoRAStencil,"[1,640,528,768]"
j3d7pt,H100,FlashFFTStencil,"[1,792,792,792]"
j3d7pt,H100,EBISU,"[8,2560,352,384]"
j3d7pt,H100,FastStencil,"[6,2560,216,572]"
poisson,H100,EBISU,"[6,2560,352,384]"
poisson,H100,FastStencil,"[3,2560,308,360]"
j3d27pt,H100,ConvStencil,"[3,2560,352,384]"
j3d27pt,H100,LoRAStencil,"[1,1280,528,640]"
j3d27pt,H100,FlashFFTStencil,"[1,792,792,792]"
j3d27pt,H100,EBISU,"[5,2560,352,384]"
j3d27pt,H100,FastStencil,"[3,2560,220,540]"
